,OMRÅDE,TID,SUNDHEDSUDGIFTER
934,Næstved,2017,4881
935,Guldborgsund,2017,5143
936,Vordingborg,2017,5276
937,Bornholm,2017,5060
938,Middelfart,2017,4940
939,Assens,2017,4882
940,Faaborg-Midtfyn,2017,5119
941,Kerteminde,2017,5191
942,Nyborg,2017,4960
943,Odense,2017,4582
944,Svendborg,2017,4883
945,Nordfyns,2017,5155
946,Langeland,2017,5885
947,Ærø,2017,5139
948,Haderslev,2017,4928
949,Billund,2017,4974
950,Sønderborg,2017,5332
951,Tønder,2017,5160
952,Esbjerg,2017,5206
953,Fanø,2017,6280
954,Varde,2017,4851
955,Vejen,2017,4875
956,Aabenraa,2017,5379
957,Fredericia,2017,4982
958,Horsens,2017,4766
959,Kolding,2017,4781
960,Vejle,2017,4567
961,Herning,2017,4210
962,Holstebro,2017,4601
963,Lemvig,2017,4921
964,Struer,2017,5021
965,Syddjurs,2017,5648
966,Norddjurs,2017,5299
967,Favrskov,2017,4379
968,Odder,2017,4462
969,Randers,2017,5044
970,Silkeborg,2017,4662
971,Samsø,2017,5025
972,Skanderborg,2017,4391
973,Aarhus,2017,4194
974,Ikast-Brande,2017,4447
975,Ringkøbing-Skjern,2017,4492
976,Hedensted,2017,4308
977,Morsø,2017,4848
978,Skive,2017,4848
